GEO_ID,NAME,S1501_C02_004E
47001,"Anderson County, Tennessee",35.9
47003,"Bedford County, Tennessee",30.6
47005,"Benton County, Tennessee",52.1
47007,"Bledsoe County, Tennessee",25.3
47009,"Blount County, Tennessee",44.4
47011,"Bradley County, Tennessee",52.5
47013,"Campbell County, Tennessee",37.3
47015,"Cannon County, Tennessee",30.4
47017,"Carroll County, Tennessee",42.2
47019,"Carter County, Tennessee",41.6
47021,"Cheatham County, Tennessee",33.3
47023,"Chester County, Tennessee",58.9
47025,"Claiborne County, Tennessee",38.5
47027,"Clay County, Tennessee",38.6
47029,"Cocke County, Tennessee",23.4
47031,"Coffee County, Tennessee",35.7
47033,"Crockett County, Tennessee",28.9
47035,"Cumberland County, Tennessee",29.9
47037,"Davidson County, Tennessee",44.3
47039,"Decatur County, Tennessee",36.1
47041,"DeKalb County, Tennessee",49
47043,"Dickson County, Tennessee",34.7
47045,"Dyer County, Tennessee",42.9
47047,"Fayette County, Tennessee",37
47049,"Fentress County, Tennessee",37.2
47051,"Franklin County, Tennessee",53.4
47053,"Gibson County, Tennessee",36.2
47055,"Giles County, Tennessee",42.2
47057,"Grainger County, Tennessee",39.5
47059,"Greene County, Tennessee",41.5
47061,"Grundy County, Tennessee",32.1
47063,"Hamblen County, Tennessee",35.1
47065,"Hamilton County, Tennessee",55.1
47067,"Hancock County, Tennessee",25.5
47069,"Hardeman County, Tennessee",30.9
47071,"Hardin County, Tennessee",35.3
47073,"Hawkins County, Tennessee",34.3
47075,"Haywood County, Tennessee",27.2
47077,"Henderson County, Tennessee",37.8
47079,"Henry County, Tennessee",30.1
47081,"Hickman County, Tennessee",26.3
47083,"Houston County, Tennessee",35.6
47085,"Humphreys County, Tennessee",29.5
47087,"Jackson County, Tennessee",38.3
47089,"Jefferson County, Tennessee",48.9
47091,"Johnson County, Tennessee",35.7
47093,"Knox County, Tennessee",50.1
47095,"Lake County, Tennessee",19.9
47097,"Lauderdale County, Tennessee",23.8
47099,"Lawrence County, Tennessee",42.9
47101,"Lewis County, Tennessee",32.2
47103,"Lincoln County, Tennessee",31.2
47105,"Loudon County, Tennessee",38.9
47107,"McMinn County, Tennessee",38.6
47109,"McNairy County, Tennessee",38.8
47111,"Macon County, Tennessee",34.1
47113,"Madison County, Tennessee",44.7
47115,"Marion County, Tennessee",47.7
47117,"Marshall County, Tennessee",33.7
47119,"Maury County, Tennessee",42.1
47121,"Meigs County, Tennessee",25.2
47123,"Monroe County, Tennessee",32.1
47125,"Montgomery County, Tennessee",45.7
47127,"Moore County, Tennessee",49.8
47129,"Morgan County, Tennessee",21.6
47131,"Obion County, Tennessee",38.1
47133,"Overton County, Tennessee",36.2
47135,"Perry County, Tennessee",42.6
47137,"Pickett County, Tennessee",36.9
47139,"Polk County, Tennessee",41.1
47141,"Putnam County, Tennessee",61.3
47143,"Rhea County, Tennessee",39.4
47145,"Roane County, Tennessee",32.3
47147,"Robertson County, Tennessee",35
47149,"Rutherford County, Tennessee",48.2
47151,"Scott County, Tennessee",40.2
47153,"Sequatchie County, Tennessee",45.4
47155,"Sevier County, Tennessee",41.4
47157,"Shelby County, Tennessee",44.2
47159,"Smith County, Tennessee",29
47161,"Stewart County, Tennessee",22.6
47163,"Sullivan County, Tennessee",43.7
47165,"Sumner County, Tennessee",41.8
47167,"Tipton County, Tennessee",34.3
47169,"Trousdale County, Tennessee",27.1
47171,"Unicoi County, Tennessee",42.4
47173,"Union County, Tennessee",20.1
47175,"Van Buren County, Tennessee",17
47177,"Warren County, Tennessee",31.7
47179,"Washington County, Tennessee",48
47181,"Wayne County, Tennessee",28.8
47183,"Weakley County, Tennessee",65.1
47185,"White County, Tennessee",30.9
47187,"Williamson County, Tennessee",32.1
47189,"Wilson County, Tennessee",39.6
