DP03_0001E,DP03_0001M,DP03_0001PE,DP03_0001PM,DP03_0002E,GEO_ID,NAME
61840,152,61840,(X),34730,47001,"Anderson County, Tennessee"
37316,148,37316,(X),23017,47003,"Bedford County, Tennessee"
13325,130,13325,(X),6330,47005,"Benton County, Tennessee"
12260,202,12260,(X),6039,47007,"Bledsoe County, Tennessee"
107014,250,107014,(X),63806,47009,"Blount County, Tennessee"
85224,260,85224,(X),51918,47011,"Bradley County, Tennessee"
32459,197,32459,(X),17037,47013,"Campbell County, Tennessee"
11510,68,11510,(X),6715,47015,"Cannon County, Tennessee"
22590,125,22590,(X),11797,47017,"Carroll County, Tennessee"
47288,164,47288,(X),24258,47019,"Carter County, Tennessee"
32401,156,32401,(X),20879,47021,"Cheatham County, Tennessee"
13877,154,13877,(X),7505,47023,"Chester County, Tennessee"
26442,161,26442,(X),13085,47025,"Claiborne County, Tennessee"
6257,63,6257,(X),2787,47027,"Clay County, Tennessee"
29197,130,29197,(X),15214,47029,"Cocke County, Tennessee"
43686,226,43686,(X),26163,47031,"Coffee County, Tennessee"
11337,68,11337,(X),6419,47033,"Crockett County, Tennessee"
49975,180,49975,(X),23006,47035,"Cumberland County, Tennessee"
555930,473,555930,(X),397453,47037,"Davidson County, Tennessee"
9448,117,9448,(X),4875,47039,"Decatur County, Tennessee"
15998,106,15998,(X),8439,47041,"DeKalb County, Tennessee"
41774,192,41774,(X),24324,47043,"Dickson County, Tennessee"
29534,179,29534,(X),17383,47045,"Dyer County, Tennessee"
33278,102,33278,(X),18833,47047,"Fayette County, Tennessee"
14754,159,14754,(X),7565,47049,"Fentress County, Tennessee"
34267,148,34267,(X),19037,47051,"Franklin County, Tennessee"
38826,163,38826,(X),21534,47053,"Gibson County, Tennessee"
23902,82,23902,(X),13462,47055,"Giles County, Tennessee"
19100,128,19100,(X),10442,47057,"Grainger County, Tennessee"
57193,201,57193,(X),29984,47059,"Greene County, Tennessee"
10798,69,10798,(X),5506,47061,"Grundy County, Tennessee"
50985,156,50985,(X),28466,47063,"Hamblen County, Tennessee"
294232,369,294232,(X),182899,47065,"Hamilton County, Tennessee"
