Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,id,Geographic Area Name
61840,34730,47001,"Anderson County, Tennessee"
37316,23017,47003,"Bedford County, Tennessee"
13325,6330,47005,"Benton County, Tennessee"
12260,6039,47007,"Bledsoe County, Tennessee"
107014,63806,47009,"Blount County, Tennessee"
85224,51918,47011,"Bradley County, Tennessee"
32459,17037,47013,"Campbell County, Tennessee"
11510,6715,47015,"Cannon County, Tennessee"
22590,11797,47017,"Carroll County, Tennessee"
47288,24258,47019,"Carter County, Tennessee"
32401,20879,47021,"Cheatham County, Tennessee"
13877,7505,47023,"Chester County, Tennessee"
26442,13085,47025,"Claiborne County, Tennessee"
6257,2787,47027,"Clay County, Tennessee"
29197,15214,47029,"Cocke County, Tennessee"
43686,26163,47031,"Coffee County, Tennessee"
11337,6419,47033,"Crockett County, Tennessee"
49975,23006,47035,"Cumberland County, Tennessee"
555930,397453,47037,"Davidson County, Tennessee"
9448,4875,47039,"Decatur County, Tennessee"
15998,8439,47041,"DeKalb County, Tennessee"
41774,24324,47043,"Dickson County, Tennessee"
29534,17383,47045,"Dyer County, Tennessee"
33278,18833,47047,"Fayette County, Tennessee"
14754,7565,47049,"Fentress County, Tennessee"
34267,19037,47051,"Franklin County, Tennessee"
38826,21534,47053,"Gibson County, Tennessee"
23902,13462,47055,"Giles County, Tennessee"
19100,10442,47057,"Grainger County, Tennessee"
57193,29984,47059,"Greene County, Tennessee"
10798,5506,47061,"Grundy County, Tennessee"
50985,28466,47063,"Hamblen County, Tennessee"
294232,182899,47065,"Hamilton County, Tennessee"
5375,2408,47067,"Hancock County, Tennessee"
21144,9139,47069,"Hardeman County, Tennessee"
20994,10421,47071,"Hardin County, Tennessee"
46532,23867,47073,"Hawkins County, Tennessee"
14128,7865,47075,"Haywood County, Tennessee"
22290,12094,47077,"Henderson County, Tennessee"
26428,13320,47079,"Henry County, Tennessee"
20265,10426,47081,"Hickman County, Tennessee"
6610,3290,47083,"Houston County, Tennessee"
14999,8007,47085,"Humphreys County, Tennessee"
9852,4647,47087,"Jackson County, Tennessee"
44314,25095,47089,"Jefferson County, Tennessee"
15123,5979,47091,"Johnson County, Tennessee"
374479,242927,47093,"Knox County, Tennessee"
6521,1986,47095,"Lake County, Tennessee"
20768,10001,47097,"Lauderdale County, Tennessee"
33761,18290,47099,"Lawrence County, Tennessee"
9708,5053,47101,"Lewis County, Tennessee"
27279,15740,47103,"Lincoln County, Tennessee"
43269,22498,47105,"Loudon County, Tennessee"
43216,22723,47107,"McMinn County, Tennessee"
20902,10619,47109,"McNairy County, Tennessee"
18641,10946,47111,"Macon County, Tennessee"
78070,45966,47113,"Madison County, Tennessee"
23322,12937,47115,"Marion County, Tennessee"
26216,15880,47117,"Marshall County, Tennessee"
72768,46290,47119,"Maury County, Tennessee"
9904,4973,47121,"Meigs County, Tennessee"
37439,19266,47123,"Monroe County, Tennessee"
151436,101140,47125,"Montgomery County, Tennessee"
5290,2955,47127,"Moore County, Tennessee"
17990,7891,47129,"Morgan County, Tennessee"
24464,13643,47131,"Obion County, Tennessee"
17712,9663,47133,"Overton County, Tennessee"
6424,3024,47135,"Perry County, Tennessee"
4271,2001,47137,"Pickett County, Tennessee"
13896,7727,47139,"Polk County, Tennessee"
63172,36624,47141,"Putnam County, Tennessee"
25908,14295,47143,"Rhea County, Tennessee"
44503,23646,47145,"Roane County, Tennessee"
55409,35762,47147,"Robertson County, Tennessee"
246261,176097,47149,"Rutherford County, Tennessee"
17309,8798,47151,"Scott County, Tennessee"
12297,6432,47153,"Sequatchie County, Tennessee"
79633,49402,47155,"Sevier County, Tennessee"
727458,470653,47157,"Shelby County, Tennessee"
15705,9437,47159,"Smith County, Tennessee"
10944,5789,47161,"Stewart County, Tennessee"
130119,71161,47163,"Sullivan County, Tennessee"
145258,95585,47165,"Sumner County, Tennessee"
48172,29652,47167,"Tipton County, Tennessee"
8548,4914,47169,"Trousdale County, Tennessee"
15141,7908,47171,"Unicoi County, Tennessee"
15778,8023,47173,"Union County, Tennessee"
4813,2366,47175,"Van Buren County, Tennessee"
32208,18169,47177,"Warren County, Tennessee"
106025,63189,47179,"Washington County, Tennessee"
13960,6235,47181,"Wayne County, Tennessee"
27855,15183,47183,"Weakley County, Tennessee"
21388,11167,47185,"White County, Tennessee"
171793,118219,47187,"Williamson County, Tennessee"
107679,71191,47189,"Wilson County, Tennessee"
